"","Gene.Symbol","Ensembl.id","Ensembl.id.version","Entrez.GeneId","Name","Tier","Genome.Location","Hallmark","Chr.Band","Somatic","Germline","Tumour.Types.Somatic.","Tumour.Types.Germline.","Cancer.Syndrome","Tissue.Type","Molecular.Genetics","Role.in.Cancer","Mutation.Types","Translocation.Partner","Other.Germline.Mut","Other.Syndrome","COSMIC.ID","cosmic.gene.name","Synonyms"
"183","DDX6","ENSG00000110367.11","ENSG00000110367",1656,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 6",1,"11:118747766-118790948","Yes",23.3,"yes","","B-NHL","","","L","Dom","oncogene, fusion","T","IGH","","","COSG214510","DDX6","1656,DDX6,ENSG00000110367.11,HLR2,P26196,RCK"
"184","DEK","ENSG00000124795.14","ENSG00000124795",7913,"DEK oncogene (DNA binding)",1,"6:18223868-18264823","",22.3,"yes","","AML","","","L","Dom","oncogene, fusion","T","NUP214","","","COSG303419","DEK","7913,D6S231E,DEK,ENSG00000124795.14,P35659"
"185","DGCR8","ENSG00000128191.15","ENSG00000128191",54487,"DGCR8, microprocessor complex subunit",2,"22:20080232-20111871","",11.21,"yes","","Wilms tumour","","","O","","oncogene","Mis","","","","COSG246926","DGCR8","54487,C22orf12,DGCR8,DGCRK6,ENSG00000128191.15,Gy1,Q8WYQ5,pasha"
"186","DICER1","ENSG00000100697.14","ENSG00000100697",23405,"dicer 1, ribonuclease type III",1,"14:95086228-95158010","Yes",32.13,"yes","yes","sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types","pleuropulmonary blastoma","familial pleuropulmonary blastoma or DICER1 syndrome","E, M, O","Rec","TSG","Mis, F, N","","","","COSG225972","DICER1","23405,DICER1,Dicer,ENSG00000100697.14,HERNA,K12H4.8-LIKE,KIAA0928,MNG1,Q9UPY3"
"187","DNAJB1","ENSG00000132002.7","ENSG00000132002",3337,"DnaJ heat shock protein family (Hsp40) member B1",1,"19:14514770-14518420","",13.12,"yes","","fibrolamellar hepatocellular carcinoma","","","E","Dom","fusion","T","PRKACA","","","COSG308191","DNAJB1","3337,DNAJB1,ENSG00000132002.7,HSPF1,Hsp40,P25685,RSPH16B,Sis1"
"188","DNM2","ENSG00000079805.16","ENSG00000079805",1785,"dynamin 2",1,"19:10718131-10831903","Yes",13.2,"yes","","T-ALL","","","L","Rec","TSG","F, N, S, Mis, O","","yes  ","Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","COSG212466","DNM2","1785,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DNM2,DYN2,DYNII,ENSG00000079805.16,P50570"
"189","DNMT3A","ENSG00000119772.16","ENSG00000119772",1788,"DNA (cytosine-5-)-methyltransferase 3 alpha",1,"2:25227855-25342590","Yes",23.3,"yes","","AML","","","L","Dom","TSG","Mis, F, N, S","","","","COSG341746","DNMT3A","1788,DNMT3A,ENSG00000119772.16,Q9Y6K1"
"190","DROSHA","ENSG00000113360.16","ENSG00000113360",29102,"drosha ribonuclease III ",1,"5:31400497-31532061","Yes",13.3,"yes","","Wilms tumour, NSCLC, bladder carcinoma","","","E, O","","TSG","A, Mis, N, F","","","","COSG247918","DROSHA","29102,DROSHA,ENSG00000113360.16,Etohi2,HSA242976,Q9NRR4,RN3,RNASE3L,RNASEN"
"191","DUX4L1",NA,NA,NA,"double homeobox 4 like 1",2,"4:190084412-190085686","",35.2,"yes","","soft tissue sarcoma","","","M","Dom","fusion","T","CIC","","","COSG281467","DUX4L1",""
"192","EBF1","ENSG00000164330.16","ENSG00000164330",1879,"early B-cell factor 1",1,"5:158695920-159099761","Yes",33.3,"yes","","lipoma","","","M","Dom","TSG, fusion","T","HMGA2","","","COSG351337","EBF1","1879,COE1,EBF,EBF1,ENSG00000164330.16,OLF1,Q9UH73"
"193","ECT2L","ENSG00000203734.11","ENSG00000203734",345930,"epithelial cell transforming sequence 2 oncogene-like",2,"6:138796111-138904070","",24.1,"yes","","ETP ALL","","","L","Rec","","N, S, Mis","","","","COSG343251","ECT2L","345930,ARHGEF32,C6orf91,ECT2L,ENSG00000203734.11,FBXO49,LFDH,Q008S8"
"194","EED","ENSG00000074266.19","ENSG00000074266",8726,"embryonic ectoderm development ",2,"11:86245223-86278813","",14.2,"yes","","malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma","","","E, L","","TSG","Mis, F","","","","COSG252461","EED","8726,EED,ENSG00000074266.19,HEED,O75530,WAIT-1"
"195","EGFR","ENSG00000146648.17","ENSG00000146648",1956,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1,"7:55019101-55211628","Yes",11.2,"yes","yes","glioma, NSCLC","NSCLC","familial lung cancer","E, O","Dom","oncogene","A, O, Mis","","","","COSG251203","EGFR","1956,EGFR,ENSG00000146648.17,ERBB,ERBB1,P00533"
"196","EIF1AX","ENSG00000173674.10","ENSG00000173674",107984923,"eukaryotic translation initiation factor 1A, X-linked",2,"X:20124518-20141844","",22.12,"yes","","uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer","","","E","","","Mis, S","","","","COSG235180","EIF1AX","107984923,EIF1A,EIF1AX,EIF4C,ENSG00000173674.10,P47813,eIF-1A,eIF-4C"
"197","EIF3E","ENSG00000104408.9","ENSG00000104408",3646,"eukaryotic translation initiation factor 3, subunit E",1,"8:108201743-108248765","Yes",23.1,"yes","","colorectal","","","E","Dom","TSG, fusion","T","RSPO3","","","COSG209899","EIF3E","3646,EIF3E,EIF3S6,ENSG00000104408.9,INT6,P60228,eIF3-p48,eIF3e"
"198","EIF4A2","ENSG00000156976.16","ENSG00000156976",1974,"eukaryotic translation initiation factor 4A, isoform 2",1,"3:186783547-186789900","Yes",27.3,"yes","","NHL","","","L","Dom","fusion","T","BCL6","","","COSG294356","EIF4A2","1974,BM-010,DDX2B,EIF4A,EIF4A2,EIF4F,ENSG00000156976.16,Q14240"
"199","ELF3","ENSG00000163435.15","ENSG00000163435",1999,"E74 like ETS transcription factor 3",2,"1:202007945-202016009","",32.1,"yes","","pancreatic cancer","","","E","","TSG","Mis, N, F","","","","COSG203457","ELF3","1999,ELF3,ENSG00000163435.15,EPR-1,ERT,ESE-1,ESX,P78545"
"200","ELF4","ENSG00000102034.16","ENSG00000102034",2000,"E74-like factor 4 (ets domain transcription factor)",1,"X:130064928-130110495","Yes",26.1,"yes","","AML","","","L","Dom","oncogene, TSG, fusion","T","ERG","","","COSG398904","ELF4","2000,ELF4,ELFR,ENSG00000102034.16,MEF,Q99607"
"201","ELK4","ENSG00000158711.13","ENSG00000158711",2005,"ELK4, ETS-domain protein (SRF accessory protein 1)",1,"1:205607943-205631962","Yes",32.1,"yes","","prostate","","","E","Dom","oncogene, fusion","T","SLC45A3","","","COSG397977","ELK4","2005,ELK4,ENSG00000158711.13,P28324,SAP1"
"202","ELL","ENSG00000105656.12","ENSG00000105656",8178,"ELL gene (11-19 lysine-rich leukemia gene)",1,"19:18442663-18522127","Yes",13.11,"yes","","AL","","","L","Dom","TSG, fusion","T","KMT2A","","","COSG353835","ELL","8178,C19orf17,ELL,ELL1,ENSG00000105656.12,Men,P55199,PPP1R68"
"203","ELN","ENSG00000049540.16","ENSG00000049540",2006,"elastin",2,"7:74027789-74069907","",11.23,"yes","","B-ALL","","","L","Dom","fusion","T","PAX5","yes  ","Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome","COSG239565","ELN","2006,ELN,ENSG00000049540.16,SVAS,WBS,WS"
"204","EML4","ENSG00000143924.18","ENSG00000143924",27436,"echinoderm microtubule associated protein like 4",1,"2:42169350-42332548","Yes",21,"yes","","NSCLC","","","E","Dom","fusion","T","ALK","","","COSG352111","EML4","27436,C2orf2,ELP120,EML4,ENSG00000143924.18,Q9HC35,ROPP120"
"205","EP300","ENSG00000100393.12","ENSG00000100393",2033,"300 kd E1A-Binding protein gene",1,"22:41091786-41180079","Yes",13.2,"yes","","colorectal, breast, pancreatic, AML, ALL, DLBCL","","","L, E","Rec","TSG, fusion","T,  N, F, Mis, O","KMT2A, KAT6A","","","COSG366575","EP300","2033,ENSG00000100393.12,EP300,KAT3B,Q09472,p300"
"206","EPAS1","ENSG00000116016.13","ENSG00000116016",2034,"endothelial PAS domain protein 1 ",1,"2:46297402-46386703","Yes",21,"yes","","paraganglioma, pheochromocytoma, central nervous system hemangioblastomas","","","E, M","Dom","oncogene, TSG","Mis","","yes  ","type 3 familial erythrocytosis","COSG300357","EPAS1","2034,ENSG00000116016.13,EPAS1,HIF2A,HLF,MOP2,PASD2,Q99814,bHLHe73"
"207","EPHA3","ENSG00000044524.10","ENSG00000044524",2042,"EPH receptor A3",2,"3:89107524-89482134","",11.1,"yes","","lung cancer, CRC, melanoma","","","E","","","Mis","","","","COSG395079","EPHA3","2042,ENSG00000044524.10,EPHA3,ETK,ETK1,HEK,HEK4,P29320,TYRO4"
"208","EPHA7","ENSG00000135333.13","ENSG00000135333",2045,"EPH receptor A7",2,"6:93240020-93419526","",16.1,"yes","","CRC, melanoma","","","E","","","Mis","","","","COSG362247","EPHA7","2045,ENSG00000135333.13,EPHA7,Hek11,Q15375"
"209","EPS15","ENSG00000085832.16","ENSG00000085832",2060,"epidermal growth factor receptor pathway substrate 15 (AF1p)",1,"1:51354263-51519328","Yes",32.3,"yes","","ALL","","","L","Dom","TSG, fusion","T","KMT2A","","","COSG272073","EPS15","2060,AF-1P,ENSG00000085832.16,EPS15,MLLT5,P42566"
"210","ERBB2","ENSG00000141736.13","ENSG00000141736",2064,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",1,"17:39700080-39728662","Yes",12,"yes","","breast, ovarian, other tumour types, NSCLC, gastric","","","E","Dom","oncogene, fusion","A, Mis, O","","","","COSG225462","ERBB2","2064,CD340,ENSG00000141736.13,ERBB2,HER-2,HER2,NEU,NGL,P04626"
"211","ERBB3","ENSG00000065361.15","ENSG00000065361",2065,"erb-b2 receptor tyrosine kinase 3",1,"12:56079861-56103505","Yes",13.2,"yes","","colon, gastric, head and neck, bladder, skin","","","E","Dom","oncogene","Mis, N","","","","COSG316099","ERBB3","2065,ENSG00000065361.15,ERBB3,HER3,LCCS2,P21860"
"212","ERBB4","ENSG00000178568.14","ENSG00000178568",2066,"erb-b2 receptor tyrosine kinase 4 ",1,"2:211375717-212538841","Yes",34,"yes","yes","melanoma, gastric, NSCLC","","","E","Dom","oncogene, TSG","Mis, N","","yes  ","Amyotrophic lateral sclerosis 19","COSG212583","ERBB4","2066,ALS19,ENSG00000178568.14,ERBB4,HER4,Q15303"
"213","ERC1","ENSG00000082805.19","ENSG00000082805",23085,"ELKS/RAB6-interacting/CAST family member 1",1,"12:1027747-1495924","Yes",13.33,"yes","","papillary thyroid, Spitzoid tumour","","","E","Dom","fusion","T","RET, ROS1","","","COSG393965","ERC1","23085,CAST2,ELKS,ENSG00000082805.19,ERC1,KIAA1081,MGC12974,Q8IUD2,RAB6IP2"
"214","ERCC2","ENSG00000104884.15","ENSG00000104884",2068,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",1,"19:45349837-45370587","Yes",13.32,"","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (D)","E","Rec","TSG","Mis, N, F, S","","","","COSG343829","ERCC2","2068,EM9,ENSG00000104884.15,ERCC2,MAG,MGC102762,MGC126218,MGC126219,P18074,TFIIH,XPD"
"215","ERCC3","ENSG00000163161.13","ENSG00000163161",2071,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",1,"2:127257290-127294176","Yes",14.3,"","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (B)","E","Rec","TSG","Mis, S","","","","COSG218917","ERCC3","2071,BTF2,ENSG00000163161.13,ERCC3,GTF2H,P19447,RAD25,TFIIH,XPB"
"216","ERCC4","ENSG00000175595.14","ENSG00000175595",2072,"excision repair cross-complementing rodent repair deficiency, complementation group 4",1,"16:13920157-13952345","Yes",13.12,"","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (F)","E","Rec","TSG","Mis, N, F","","","","COSG347926","ERCC4","2072,ENSG00000175595.14,ERCC4,FANCQ,Q92889,RAD1,XPF"
"217","ERCC5","ENSG00000134899.19","ENSG00000134899",2073,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",1,"13:102844844-102876001","Yes",33.1,"","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (G)","E","Rec","TSG","Mis, N, F","","","","COSG383306","ERCC5","2073,ENSG00000134899.19,ERCC5,ERCM2,P28715,XPGC"
"218","ERG","ENSG00000157554.18","ENSG00000157554",2078,"v-ets erythroblastosis virus E26 oncogene like (avian)",1,"21:38380027-38661694","Yes",22.2,"yes","","Ewing sarcoma, prostate, AML","","","M, E, L","Dom","oncogene, fusion","T, A","EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1","","","COSG215065","ERG","2078,ENSG00000157554.18,ERG,P11308,erg-3,p55"
"219","ESR1","ENSG00000091831.23","ENSG00000091831",2099,"estrogen receptor 1",1,"6:151690496-152103274","Yes",25.2,"yes","","breast","","","E","Dom","oncogene, TSG, fusion","Mis","","","","COSG237253","ESR1","2099,ENSG00000091831.23,ER-alpha,ESR,ESR1,Era,NR3A1,P03372"
"220","ETNK1","ENSG00000139163.15","ENSG00000139163",55500,"ethanolamine kinase 1",1,"12:22625075-22690665","Yes",12.1,"yes","","aCML, CMML, SM-AHD, HES","","","L","Dom","TSG","Mis","","","","COSG300528","ETNK1","55500,EKI,EKI1,ENSG00000139163.15,ETNK1,Q9HBU6"
"221","ETV1","ENSG00000006468.13","ENSG00000006468",2115,"ets variant gene 1",1,"7:13891228-13989946","",21.2,"yes","","Ewing sarcoma, prostate","","","M, E","Dom","oncogene, fusion","T","EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3","","","COSG234913","ETV1","2115,ENSG00000006468.13,ER81,ETV1,P50549"
"222","ETV4","ENSG00000175832.12","ENSG00000175832",2118,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",1,"17:43527844-43546432","",21.31,"yes","","Ewing sarcoma, prostate carcinoma","","","M, E","Dom","oncogene, fusion","T","EWSR1, TMPRSS2, DDX5, KLK2, CANT1","","","COSG208289","ETV4","2118,E1A-F,E1AF,ENSG00000175832.12,ETV4,P43268,PEA3"
"223","ETV5","ENSG00000244405.7","ENSG00000244405",2119,"ets variant gene 5",1,"3:186046308-186109112","",27.2,"yes","","prostate","","","E","Dom","oncogene, fusion","T","TMPRSS2, SCL45A3","","","COSG366539","ETV5","2119,ENSG00000244405.7,ERM,ETV5,P41161"
"224","ETV6","ENSG00000139083.10","ENSG00000139083",2120,"ets variant gene 6 (TEL oncogene)",1,"12:11649854-11895402","Yes",13.2,"yes","","congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS","","","L, E, M","Dom","TSG, fusion","T","NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5","","","COSG240080","ETV6","2120,ENSG00000139083.10,ETV6,P41212,TEL"
"225","EWSR1","ENSG00000182944.17","ENSG00000182944",2130,"Ewing sarcoma breakpoint region 1 (EWS)",1,"22:29268316-29300343","Yes",12.2,"yes","","Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma","","","L, M, E","Dom","oncogene, fusion","T","FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1","","","COSG368612","EWSR1","2130,ENSG00000182944.17,EWS,EWSR1,Q01844"
"226","EXT1","ENSG00000182197.10","ENSG00000182197",2131,"multiple exostoses type 1 gene",1,"8:117794490-118111853","",24.11,"","yes","","exostoses, osteosarcoma","multiple exostoses type 1","M","Rec","TSG, fusion","Mis, N, F, S","","","","COSG389883","EXT1","2131,ENSG00000182197.10,EXT1,LGCR,LGS,Q16394,ttv"
"227","EXT2","ENSG00000151348.13","ENSG00000151348",2132,"multiple exostoses type 2 gene",1,"11:44096197-44245429","",11.2,"","yes","","exostoses, osteosarcoma","multiple exostoses type 2","M","Rec","TSG","Mis, N, F, S","","","","COSG323603","EXT2","2132,ENSG00000151348.13,EXT2,Q93063,SOTV"
"228","EZH2","ENSG00000106462.10","ENSG00000106462",2146,"enhancer of zeste homolog 2",1,"7:148807385-148884278","Yes",36.1,"yes","","DLBCL","","","L","Dom","oncogene, TSG","Mis","","","","COSG233457","EZH2","2146,ENSG00000106462.10,ENX-1,EZH1,EZH2,KMT6,KMT6A,Q15910"
"229","EZR","ENSG00000092820.17","ENSG00000092820",7430,"ezrin",1,"6:158765748-158819412","Yes",25.3,"yes","","NSCLC","","","E","Dom","fusion","T","ROS1","","","COSG306033","EZR","7430,ENSG00000092820.17,EZR,P15311,VIL2"
"230","FAM131B","ENSG00000159784.17","ENSG00000159784",9715,"family with sequence similarity 131, member B",2,"7:143353400-143362752","",34,"yes","","pilocytic astrocytoma","","","O","Dom","fusion","T","BRAF","","","COSG203104","FAM131B","9715,ENSG00000159784.17,FAM131B,KIAA0773,Q86XD5"
"231","FAM135B","ENSG00000147724.11","ENSG00000147724",51059,"family with sequence similarity 135 member B",2,"8:138130023-138496822","",24.23,"yes","","SCLC","","","E","","","Mis","","","","COSG380901","FAM135B","51059,C8ORFK32,ENSG00000147724.11,FAM135B,Q49AJ0"
"232","FAM47C","ENSG00000198173.4","ENSG00000198173",442444,"family with sequence similarity 47 member C",2,"X:37008397-37011666","",21.1,"yes","","melanoma, clear cell sarcoma of soft parts, SCLC","","","E, M","","","Mis","","","","COSG341744","FAM47C","442444,ENSG00000198173.4,FAM47C,Q5HY64"
"233","FANCA","ENSG00000187741.14","ENSG00000187741",2175,"Fanconi anemia, complementation group A",1,"16:89737549-89816646","",24.3,"","yes","","AML, leukaemia","Fanconi anaemia A","L","Rec","TSG","D, Mis, N, F, S","","","","COSG251849","FANCA","2175,ENSG00000187741.14,FA-H,FAA,FACA,FAH,FANCA,FANCH,O15360"
"234","FANCC","ENSG00000158169.12","ENSG00000158169",2176,"Fanconi anemia, complementation group C",1,"9:95099054-95317702","",22.32,"","yes","","AML, leukaemia","Fanconi anaemia C","L","Rec","TSG","D, Mis, N, F, S","","","","COSG263163","FANCC","2176,ENSG00000158169.12,FA3,FAC,FACC,FANCC,Q00597"
"235","FANCD2","ENSG00000144554.10","ENSG00000144554",2177,"Fanconi anemia, complementation group D2",1,"3:10026414-10099660","Yes",25.3,"","yes","","AML, leukaemia","Fanconi anaemia D2","L","Rec","TSG","D, Mis, N, F","","","","COSG291806","FANCD2","2177,ENSG00000144554.10,FA-D2,FACD,FAD,FANCD,FANCD2,Q9BXW9"
"236","FANCE","ENSG00000112039.3","ENSG00000112039",2178,"Fanconi anemia, complementation group E",1,"6:35452361-35467103","",21.31,"","yes","","AML, leukaemia","Fanconi anaemia E","L","Rec","TSG","N, F, S","","","","COSG397274","FANCE","2178,ENSG00000112039.3,FACE,FAE,FANCE,Q9HB96"
"237","FANCF","ENSG00000183161.4","ENSG00000183161",2188,"Fanconi anemia, complementation group F",1,"11:22622519-22626787","",14.3,"","yes","","AML, leukaemia","Fanconi anaemia F","L","Rec","TSG","N, F","","","","COSG277918","FANCF","2188,ENSG00000183161.4,FAF,FANCF,Q9NPI8"
"238","FANCG","ENSG00000221829.9","ENSG00000221829",2189,"Fanconi anemia, complementation group G",1,"9:35073838-35080016","",13.3,"","yes","","AML, leukaemia","Fanconi anaemia G","L","Rec","TSG","Mis, N, F, S","","","","COSG257284","FANCG","2189,ENSG00000221829.9,FAG,FANCG,O15287,XRCC9"
"239","FAS","ENSG00000026103.21","ENSG00000026103",355,"Fas cell surface death receptor",1,"10:88990657-89015785","Yes",23.31,"yes","","TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related","","","L, E, O","Rec","TSG","Mis","","yes  ","Autoimmune lymphoproliferative syndrome","COSG295296","FAS","355,APO-1,APT1,CD95,ENSG00000026103.21,FAS,FAS1,P25445,TNFRSF6"
"240","FAT1","ENSG00000083857.13","ENSG00000083857",2195,"FAT atypical cadherin 1 ",1,"4:186587783-186723855","Yes",35.2,"yes","yes","oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma","pancreatic","","E, L","","TSG","Mis, N, F, S","","","","COSG235915","FAT1","2195,CDHF7,CDHR8,ENSG00000083857.13,FAT,FAT1,Q14517"
"241","FAT3","ENSG00000165323.15","ENSG00000165323",120114,"FAT atypical cadherin 3",2,"11:92352541-92896470","",14.3,"yes","","SCC, colon adenocarcinoma, gastric adenocarcinoma","","","E","","","Mis","","","","COSG395520","FAT3","120114,CDHF15,CDHR10,ENSG00000165323.15,FAT3,KIAA1989"
"242","FAT4","ENSG00000196159.11","ENSG00000196159",79633,"FAT atypical cadherin 4 ",1,"4:125316399-125492932","Yes",28.1,"yes","","lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma","","","E, L","","TSG","Mis, N","","yes  ","Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2 ","COSG273977","FAT4","79633,CDHF14,CDHR11,ENSG00000196159.11,FAT-J,FAT4,Q6V0I7"
"243","FBLN2","ENSG00000163520.13","ENSG00000163520",2199,"fibulin 2",2,"3:13549131-13638422","",25.1,"yes","","breast cancer, colorectal adenocarcinoma","","","E","","TSG","Mis, S","","","","COSG206750","FBLN2","2199,ENSG00000163520.13,FBLN2,P98095"
"244","FBXO11","ENSG00000138081.20","ENSG00000138081",80204,"F-box protein 11",1,"2:47806920-47905793","Yes",16.3,"yes","","DLBCL","","","L","Rec","TSG","Mis, F, D","","","","COSG206831","FBXO11","80204,ENSG00000138081.20,FBX11,FBXO11,Q86XK2,UBR6"
"245","FBXW7","ENSG00000109670.14","ENSG00000109670",55294,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",1,"4:152320544-152536063","Yes",31.3,"yes","","colorectal, endometrial, T-ALL","","","E, L","Rec","TSG","Mis, N, D, F","","","","COSG358437","FBXW7","55294,AGO,CDC4,ENSG00000109670.14,FBW7,FBX30,FBXW6,FBXW7,FLJ11071,Q969H0,SEL-10,SEL10"
"246","FCGR2B","ENSG00000072694.20","ENSG00000072694",2213,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",1,"1:161663161-161678654","Yes",23.3,"yes","","ALL","","","L","Dom","oncogene, fusion","T","?","","","COSG199658","FCGR2B","2213,CD32,CD32B,ENSG00000072694.20,FCG2,FCGR2,FCGR2B,P31994"
"247","FCRL4","ENSG00000163518.10","ENSG00000163518",83417,"Fc receptor-like 4",1,"1:157573749-157598080","",23.1,"yes","","B-NHL","","","L","Dom","oncogene, fusion","T","IGH","","","COSG260522","FCRL4","83417,CD307d,ENSG00000163518.10,FCRH4,FCRL4,IGFP2,IRTA1,Q96PJ5"
"248","FEN1","ENSG00000168496.3","ENSG00000168496",2237,"flap structure-specific endonuclease 1",2,"11:61792637-61797244","",12.2,"","yes","","breast cancer","","E","","TSG","","","","","COSG330129","FEN1","2237,ENSG00000168496.3,FEN-1,FEN1,MF1,P39748,RAD2"
"249","FES","ENSG00000182511.11","ENSG00000182511",2242,"FES proto-oncogene, tyrosine kinase",1,"15:90884412-90895776","Yes",26.1,"yes","","HNSCC, ovarian carcinoma","","","E","","oncogene, TSG","Mis, F","","","","COSG331719","FES","2242,ENSG00000182511.11,FES,FPS,P07332"
"250","FEV","ENSG00000163497.2","ENSG00000163497",54738,"FEV protein - (HSRNAFEV)",1,"2:218981087-218985657","",35,"yes","","Ewing sarcoma","","","M","Dom","oncogene, fusion","T","EWSR1,  FUS","","","COSG377146","FEV","54738,ENSG00000163497.2,FEV,Pet-1,Q99581"
"251","FGFR1","ENSG00000077782.19","ENSG00000077782",2260,"fibroblast growth factor receptor 1",1,"8:38411138-38467845","Yes",11.23,"yes","","MPN, NHL, salivary adenoma","","","L","Dom","oncogene, fusion","T","BCR, FOP, ZMYM2, CNTRL, PLAG1","yes  ","Pfeiffer syndrome, Kallman syndrome","COSG225087","FGFR1","2260,BFGFR,CD331,CEK,ENSG00000077782.19,FGFR1,FLG,FLT2,H2,H3,H4,H5,KAL2,N-SAM,P11362"
"252","FGFR1OP","ENSG00000213066.12","ENSG00000213066",11116,"FGFR1 oncogene partner (FOP)",1,"6:166999182-167052713","",27,"yes","","MPN, NHL","","","L","Dom","fusion","T","FGFR1","","","COSG332672","FGFR1OP","11116,ENSG00000213066.12,FGFR1OP,FOP,O95684"
"253","FGFR2","ENSG00000066468.22","ENSG00000066468",2263,"fibroblast growth factor receptor 2",1,"10:121479857-121598403","Yes",26.13,"yes","","gastric, NSCLC, endometrial","","","E","Dom","oncogene, fusion","Mis","","yes  ","Crouzon, Pfeiffer, and Apert syndromes","COSG292621","FGFR2","2263,BEK,CD332,CEK3,CFD1,ECT1,ENSG00000066468.22,FGFR2,JWS,K-SAM,KGFR,P21802,TK14,TK25"
"254","FGFR3","ENSG00000068078.18","ENSG00000068078",2261,"fibroblast growth factor receptor 3",1,"4:1793312-1808872","Yes",16.3,"yes","","bladder, MM, T-cell lymphoma","","","L, E","Dom","oncogene, fusion","Mis, T","IGH, ETV6","yes  ","Hypochondroplasia, Thanatophoric dysplasia","COSG368519","FGFR3","2261,ACH,CD333,CEK2,ENSG00000068078.18,FGFR3,JTK4,P22607"
"255","FGFR4","ENSG00000160867.14","ENSG00000160867",2264,"fibroblast growth factor receptor 4",1,"5:177086886-177098144","Yes",35.2,"yes","","rhabdomyosarcoma","","","M","Dom","oncogene","Mis","","","","COSG384762","FGFR4","2264,CD334,ENSG00000160867.14,FGFR4,JTK2,P22455"
"256","FH","ENSG00000091483.6","ENSG00000091483",2271,"fumarate hydratase",1,"1:241497603-241519761","",43,"","yes","","leiomyomatosis, renal","hereditary leiomyomatosis and renal cell cancer","E, M","Rec","TSG","Mis, N, F","","","","COSG255037","FH","2271,ENSG00000091483.6,FH,P07954"
"257","FHIT","ENSG00000189283.9","ENSG00000189283",2272,"fragile histidine triad gene",1,"3:59751407-61251459","Yes",14.2,"yes","","pleomorphic salivary gland adenoma","","","E","Dom","TSG, fusion","T","HMGA2","","","COSG365581","FHIT","2272,AP3Aase,ENSG00000189283.9,FHIT,FRA3B,P49789"
"258","FIP1L1","ENSG00000145216.15","ENSG00000145216",81608,"FIP1 like 1 (S. cerevisiae)",1,"4:53377645-53459668","Yes",12,"yes","","idiopathic hypereosinophilic syndrome","","","L","Dom","fusion","T","PDGFRA","","","COSG330388","FIP1L1","81608,DKFZp586K0717,ENSG00000145216.15,FIP1,FIP1L1,Q6UN15"
"259","FKBP9","ENSG00000122642.10","ENSG00000122642",11328,"FK506 binding protein 9",2,"7:32957404-33006930","",14.3,"yes","","glioma","","","O","","","Mis","","","","COSG386762","FKBP9","11328,ENSG00000122642.10,FKBP60,FKBP63,FKBP9,O95302"
"260","FLCN","ENSG00000154803.12","ENSG00000154803",201163,"folliculin",1,"17:17212212-17237139","",11.2,"","yes","","renal, fibrofolliculomas, trichodiscomas","Birt-Hogg-Dube syndrome","E, M","Rec","TSG","Mis. N, F","","","","COSG284938","FLCN","201163,BHD,ENSG00000154803.12,FLCN,MGC17998,MGC23445,Q8NFG4"
